Datum	Wtag	Sonntag	Losungsvers	Losungstext	Lehrtextvers	Lehrtext
01.01.2022	Samstag	Neujahr	5. Mose 13,7.9	Wenn dich dein Bruder oder dein Sohn oder deine Tochter oder deine Frau in deinen Armen oder dein Freund, der dir so lieb ist wie dein Leben, heimlich überreden würde und sagen: Lass uns hingehen und andern Göttern dienen, so willige nicht ein.	Markus 3,35	/Jesus spricht:/ Wer Gottes Willen tut, der ist mein Bruder und meine Schwester und meine Mutter.
02.01.2022	Sonntag	1. Sonntag nach Weihnachten	5. Mose 32,39	Sehet, dass ich’s allein bin und ist kein Gott neben mir! Ich kann töten und lebendig machen, ich kann schlagen und kann heilen, und niemand kann aus meiner Hand reißen.	Römer 14,8	Leben wir, so leben wir dem Herrn; sterben wir, so sterben wir dem Herrn. Darum: wir leben oder sterben, so sind wir des Herrn.
03.01.2022	Montag		Jeremia 14,9	Du bist ja doch unter uns, HERR, und wir heißen nach deinem Namen; verlass uns nicht!	Epheser 1,18	Gott gebe euch erleuchtete Augen des Herzens, damit ihr erkennt, zu welcher Hoffnung ihr von ihm berufen seid.
04.01.2022	Dienstag		Psalm 57,2	Sei mir gnädig, Gott, sei mir gnädig! Denn auf dich traut meine Seele.	Johannes 1,16	Von seiner Fülle haben wir alle genommen Gnade um Gnade.
05.01.2022	Mittwoch		2. Mose 33,19	/Der HERR spricht:/ Wem ich gnädig bin, dem bin ich gnädig, und wessen ich mich erbarme, dessen erbarme ich mich.	2. Korinther 8,9	Ihr kennt die Gnade unseres Herrn Jesus Christus: Obwohl er reich ist, wurde er doch arm um euretwillen, auf dass ihr durch seine Armut reich würdet.
06.01.2022	Donnerstag	Epiphanias	Jeremia 33,8	Ich will sie reinigen von aller Missetat, womit sie wider mich gesündigt haben, und will ihnen vergeben.	1. Johannes 2,2	Jesus Christus ist die Versöhnung für unsre Sünden, nicht allein aber für die unseren, sondern auch für die der ganzen Welt.
07.01.2022	Freitag		5. Mose 4,39	Du sollst heute wissen und zu Herzen nehmen, dass der HERR Gott ist oben im Himmel und unten auf Erden und sonst keiner.	Kolosser 1,19-20	Es hat Gott gefallen, alle Fülle in ihm wohnen zu lassen und durch ihn alles zu versöhnen zu ihm hin, es sei auf Erden oder im Himmel.
08.01.2022	Samstag		Hiob 16,19	Siehe, auch jetzt noch ist mein Zeuge im Himmel, und mein Fürsprecher ist in der Höhe.	Hebräer 11,1	Es ist der Glaube eine feste Zuversicht dessen, was man hofft, und ein Nichtzweifeln an dem, was man nicht sieht.
09.01.2022	Sonntag	1. Sonntag nach Epiphanias	Jesaja 31,1	Weh denen, die sich verlassen auf Rosse und vertrauen auf Wagen, weil ihrer viele sind! Aber sie schauen nicht auf den Heiligen Israels, und den HERRN befragen sie nicht.	Hebräer 2,1	Darum sollen wir desto mehr achten auf das Wort, das wir hören, damit wir nicht am Ziel vorbeitreiben.
10.01.2022	Montag		Psalm 19,13	Wer kann merken, wie oft er fehlet? Verzeihe mir die verborgenen Sünden!	1. Korinther 4,5	Der Herr wird auch, was im Dunkeln verborgen ist, ans Licht bringen und wird Sinnen und Trachten der Herzen offenbar machen. Und dann wird einem jeden sein Lob zuteil werden von Gott.
